FME Extensions,FME Extensions
Manage Jobs,Manage Jobs
Manage Applications,Manage Applications
Manage Meta Data,Manage Meta Data
Configurations,Configurations
Add New Job, Add New Job
Manage job, Manage Job
Job Title, Job Title
Applicants, Applicants
Department, Department
Location, Location
Status, Status
Action, Action
New Job, New Job
General Form, General Form
Job Enable, Job Enable
Url Key, Url key
No. of Positions, No. of Positions
Select Department, Select Department
Select Job Type, Select Job Type
Job Location, Job Location
Select Gender, Select Gender
Career Level, Career Level
Minimum Qualification Required, Minimum Qualification Required
Years of Experience Required, Years of Experience Required
Required Travel, Required Travel
Publish Date, Publish Date
Apply By, Apply By
Required Skills, Required Skills
Meta Information, Meta Information
Page Title, Page Title
Keywords, Keywords
Description, Description
title, title
fullname, fullname
Remarks, Remarks
Candidate Name, Candidate Name
Email, Email
Date of Birth, Date of Birth
Nationality, Nationality
Contact No , Contact No
Address, Address
Zip Code, Zip Code
Curriculum vitae, Curriculum vitae
Module Settings,Module Settings
Extension Enable,Extension Enable
Jobs Settings,Jobs Settings
Enable header link,Enable header link
Header link title,Header link title
Enable Footer Link,Enable Footer Link
Footer Link Label,Footer Link Label
Label for Jobs's Module,Label for Jobs's Module
Description for Jobs,Description for Jobs
Enable side bar Filters,Enable side bar Filters
Enable top bar Filters,Enable top bar Filters
Show Expired Jobs,Show Expired Jobs
No. of Items to show in each Sidebar Filter,No. of Items to show in each Sidebar Filter
Page Title,Page Title
Description,Description
Keywords,Keywords
Slug,Slug
URL Suffix,URL Suffix
Job's Sharing Options,Job's Sharing Options
Enable Application Form Popup,Enable Application Form Popup
Enable Antispam Check,Enable Antispam Check
Google Recaptcha Key:,Google Recaptcha Key:
Send Emails To,Send Emails To
Email Sender,Email Sender
Email Template,Email Template
Jobs Detail Settings,Jobs Detail Settings
Email Options, Email Options
SEO Configurations, SEO Configurations




